エリア,校舎,在籍,筑駒,開成,麻布,駒東,武蔵,桜蔭,JG,雙葉,豊島岡,渋幕,渋渋,"
慶普",慶中,慶湘,早稲田,早大学院,早実,聖光,栄光,浅野,フェリス,筑附,広尾,青山,海城,芝,白百合,学習院女,洗足,吉祥女,鴎友,"浦和
明星",灘,1日8校率,男子御三家率,女子御三家率,男四天王（総在籍）,女四天王（総在籍）,筑駒率,開成率,桜蔭率,"神奈川男子
御三家率"
東京,茗荷谷,77,0,4,1,0,1,4,2,2,7,1,2,0,3,0,1,0,0,0,0,1,0,0,9,1,7,1,2,1,0,3,0,7,0,18.18%,7.79%,10.39%,7.79%,19.48%,0.00%,5.19%,5.19%,1.30%
東京,永福町,77,0,0,2,8,3,2,0,0,2,1,1,2,1,0,2,0,1,0,0,0,0,0,3,0,4,2,0,0,0,8,7,5,0,19.48%,6.49%,2.60%,16.88%,5.19%,0.00%,0.00%,2.60%,0.00%
神奈川,センター南,75,1,3,0,6,1,0,1,0,1,1,2,5,3,1,0,0,0,7,5,14,2,0,1,2,1,0,1,1,4,0,3,2,0,17.33%,5.33%,1.33%,13.33%,2.67%,1.33%,4.00%,0.00%,34.67%
埼玉,大宮,69,0,3,2,0,3,1,2,0,5,1,3,0,1,0,5,1,2,0,0,0,0,1,1,0,9,2,0,1,0,0,0,10,0,15.94%,11.59%,4.35%,11.59%,11.59%,0.00%,4.35%,1.45%,0.00%
神奈川,東戸塚,65,0,0,4,0,0,0,1,1,2,0,2,3,2,2,0,0,0,4,7,12,5,0,2,1,1,0,0,0,6,0,0,3,0,16.92%,6.15%,3.08%,6.15%,6.15%,0.00%,0.00%,0.00%,35.38%
神奈川,若葉台,60,1,0,1,4,0,3,1,2,2,0,0,0,1,1,1,0,2,1,1,3,0,0,1,0,0,0,0,0,3,4,3,8,0,18.33%,1.67%,10.00%,8.33%,13.33%,1.67%,0.00%,5.00%,8.33%
神奈川,上大岡,58,0,2,0,0,0,3,0,0,4,0,0,2,0,0,0,0,0,4,3,8,5,0,1,0,0,3,0,1,3,0,0,5,0,17.24%,3.45%,5.17%,3.45%,12.07%,0.00%,3.45%,5.17%,25.86%
神奈川,宮前平,47,0,0,2,0,0,0,2,1,2,0,1,0,0,0,2,0,0,2,1,4,1,0,1,0,0,0,1,1,4,0,2,3,0,12.77%,4.26%,6.38%,4.26%,10.64%,0.00%,0.00%,0.00%,14.89%
神奈川,茅ヶ崎,46,0,4,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,3,6,17,4,0,0,1,0,0,0,1,0,0,0,0,1,17.39%,8.70%,0.00%,8.70%,2.17%,0.00%,8.70%,0.00%,56.52%
埼玉,所沢,39,0,0,1,0,4,0,0,0,3,0,0,0,2,0,1,2,1,1,0,0,0,1,0,0,4,0,0,1,0,3,1,2,0,12.82%,12.82%,0.00%,12.82%,7.69%,0.00%,0.00%,0.00%,2.56%
埼玉,新越谷,38,0,1,0,0,0,0,1,0,2,3,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,6,0,5.26%,2.63%,2.63%,2.63%,7.89%,0.00%,2.63%,0.00%,0.00%
